"","Area","Year","Type","Incidents"
"1","Ararat",2010,"A20 Assault and related offences",76
"25","Ararat",2011,"A20 Assault and related offences",93
"49","Ararat",2012,"A20 Assault and related offences",154
"73","Ararat",2013,"A20 Assault and related offences",118
"97","Ararat",2014,"A20 Assault and related offences",134
"121","Ararat",2015,"A20 Assault and related offences",139
"145","Ararat",2016,"A20 Assault and related offences",136
"169","Ararat",2017,"A20 Assault and related offences",156
"193","Ararat",2018,"A20 Assault and related offences",147
"217","Ararat",2019,"A20 Assault and related offences",118
"241","Ararat",2010,"A50 Robbery",1
"276","Ararat",2012,"A50 Robbery",1
"291","Ararat",2013,"A50 Robbery",1
"342","Ararat",2016,"A50 Robbery",1
"372","Ararat",2018,"A50 Robbery",3
"389","Ararat",2019,"A50 Robbery",2
"408","Ararat",2010,"A70 Stalking, harassment and threatening behaviour",11
"431","Ararat",2011,"A70 Stalking, harassment and threatening behaviour",12
"455","Ararat",2012,"A70 Stalking, harassment and threatening behaviour",15
"479","Ararat",2013,"A70 Stalking, harassment and threatening behaviour",14
"503","Ararat",2014,"A70 Stalking, harassment and threatening behaviour",15
"527","Ararat",2015,"A70 Stalking, harassment and threatening behaviour",18
"551","Ararat",2016,"A70 Stalking, harassment and threatening behaviour",19
"575","Ararat",2017,"A70 Stalking, harassment and threatening behaviour",19
"599","Ararat",2018,"A70 Stalking, harassment and threatening behaviour",16
"623","Ararat",2019,"A70 Stalking, harassment and threatening behaviour",29
"646","Ararat",2010,"A80 Dangerous and negligent acts endangering people",7
"670","Ararat",2011,"A80 Dangerous and negligent acts endangering people",7
"694","Ararat",2012,"A80 Dangerous and negligent acts endangering people",8
"718","Ararat",2013,"A80 Dangerous and negligent acts endangering people",15
"742","Ararat",2014,"A80 Dangerous and negligent acts endangering people",13
"764","Ararat",2015,"A80 Dangerous and negligent acts endangering people",19
"788","Ararat",2016,"A80 Dangerous and negligent acts endangering people",15
"812","Ararat",2017,"A80 Dangerous and negligent acts endangering people",16
"835","Ararat",2018,"A80 Dangerous and negligent acts endangering people",7
"858","Ararat",2019,"A80 Dangerous and negligent acts endangering people",24
"881","Ararat",2010,"B10 Arson",15
"905","Ararat",2011,"B10 Arson",8
"929","Ararat",2012,"B10 Arson",11
"953","Ararat",2013,"B10 Arson",20
"975","Ararat",2014,"B10 Arson",14
"999","Ararat",2015,"B10 Arson",15
"1022","Ararat",2016,"B10 Arson",6
"1045","Ararat",2017,"B10 Arson",20
"1069","Ararat",2018,"B10 Arson",16
"1093","Ararat",2019,"B10 Arson",14
"1117","Ararat",2010,"B20 Property damage",171
"1141","Ararat",2011,"B20 Property damage",155
"1165","Ararat",2012,"B20 Property damage",155
"1189","Ararat",2013,"B20 Property damage",165
"1213","Ararat",2014,"B20 Property damage",122
"1237","Ararat",2015,"B20 Property damage",127
"1261","Ararat",2016,"B20 Property damage",105
"1285","Ararat",2017,"B20 Property damage",99
"1309","Ararat",2018,"B20 Property damage",115
"1333","Ararat",2019,"B20 Property damage",84
"1357","Ararat",2010,"B30 Burglary/Break and enter",70
"1381","Ararat",2011,"B30 Burglary/Break and enter",82
"1405","Ararat",2012,"B30 Burglary/Break and enter",67
"1429","Ararat",2013,"B30 Burglary/Break and enter",78
"1453","Ararat",2014,"B30 Burglary/Break and enter",43
"1477","Ararat",2015,"B30 Burglary/Break and enter",78
"1501","Ararat",2016,"B30 Burglary/Break and enter",54
"1525","Ararat",2017,"B30 Burglary/Break and enter",80
"1549","Ararat",2018,"B30 Burglary/Break and enter",59
"1573","Ararat",2019,"B30 Burglary/Break and enter",64
"1597","Ararat",2010,"B40 Theft",204
"1621","Ararat",2011,"B40 Theft",197
"1645","Ararat",2012,"B40 Theft",228
"1669","Ararat",2013,"B40 Theft",194
"1693","Ararat",2014,"B40 Theft",132
"1717","Ararat",2015,"B40 Theft",175
"1741","Ararat",2016,"B40 Theft",137
"1765","Ararat",2017,"B40 Theft",144
"1789","Ararat",2018,"B40 Theft",161
"1813","Ararat",2019,"B40 Theft",164
"1837","Ararat",2010,"B50 Deception",9
"1861","Ararat",2011,"B50 Deception",8
"1884","Ararat",2012,"B50 Deception",13
"1908","Ararat",2013,"B50 Deception",21
"1932","Ararat",2014,"B50 Deception",15
"1955","Ararat",2015,"B50 Deception",36
"1979","Ararat",2016,"B50 Deception",30
"2003","Ararat",2017,"B50 Deception",13
"2024","Ararat",2018,"B50 Deception",33
"2048","Ararat",2019,"B50 Deception",26
"2096","Ararat",2010,"C10 Drug dealing and trafficking",6
"2119","Ararat",2011,"C10 Drug dealing and trafficking",3
"2140","Ararat",2012,"C10 Drug dealing and trafficking",3
"2161","Ararat",2013,"C10 Drug dealing and trafficking",15
"2184","Ararat",2014,"C10 Drug dealing and trafficking",3
"2206","Ararat",2015,"C10 Drug dealing and trafficking",11
"2230","Ararat",2016,"C10 Drug dealing and trafficking",14
"2252","Ararat",2017,"C10 Drug dealing and trafficking",4
"2273","Ararat",2018,"C10 Drug dealing and trafficking",15
"2294","Ararat",2019,"C10 Drug dealing and trafficking",6
"2317","Ararat",2010,"C20 Cultivate or manufacture drugs",3
"2339","Ararat",2011,"C20 Cultivate or manufacture drugs",3
"2362","Ararat",2012,"C20 Cultivate or manufacture drugs",2
"2385","Ararat",2013,"C20 Cultivate or manufacture drugs",2
"2428","Ararat",2015,"C20 Cultivate or manufacture drugs",4
"2451","Ararat",2016,"C20 Cultivate or manufacture drugs",1
"2474","Ararat",2017,"C20 Cultivate or manufacture drugs",4
"2496","Ararat",2018,"C20 Cultivate or manufacture drugs",1
"2519","Ararat",2019,"C20 Cultivate or manufacture drugs",1
"2543","Ararat",2010,"C30 Drug use and possession",24
"2567","Ararat",2011,"C30 Drug use and possession",22
"2591","Ararat",2012,"C30 Drug use and possession",27
"2615","Ararat",2013,"C30 Drug use and possession",25
"2638","Ararat",2014,"C30 Drug use and possession",19
"2662","Ararat",2015,"C30 Drug use and possession",32
"2686","Ararat",2016,"C30 Drug use and possession",63
"2710","Ararat",2017,"C30 Drug use and possession",62
"2734","Ararat",2018,"C30 Drug use and possession",56
"2758","Ararat",2019,"C30 Drug use and possession",36
"2807","Ararat",2016,"C90 Other drug offences",1
"2815","Ararat",2017,"C90 Other drug offences",1
"2834","Ararat",2010,"D10 Weapons and explosives offences",21
"2857","Ararat",2011,"D10 Weapons and explosives offences",22
"2880","Ararat",2012,"D10 Weapons and explosives offences",26
"2904","Ararat",2013,"D10 Weapons and explosives offences",16
"2928","Ararat",2014,"D10 Weapons and explosives offences",32
"2952","Ararat",2015,"D10 Weapons and explosives offences",28
"2976","Ararat",2016,"D10 Weapons and explosives offences",28
"3000","Ararat",2017,"D10 Weapons and explosives offences",34
"3024","Ararat",2018,"D10 Weapons and explosives offences",33
"3048","Ararat",2019,"D10 Weapons and explosives offences",26
"3072","Ararat",2010,"D20 Disorderly and offensive conduct",103
"3096","Ararat",2011,"D20 Disorderly and offensive conduct",90
